rating_detail,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps
2,3M COMPANY,MMM,Egan-Jones Ratings Company,2013-08-16,Capital Goods,credit_rating_financial,2.1984,0.3326,0.475488,0.216794,0.216794,0.21238,0.148609,0.8827,0.250055,0.133162,0.1868,-0.0235
2,Owens Corning Inc,OC,Standard & Poor's Ratings Services,2013-08-16,Capital Goods,corporate_rating,1.862903226,1.016082257,0.182436261,0.051558074,0.051558074,0.051558074,0.038526912,0.692428403,0.053783285,0.026677128,3.536379019,0.549915398
1,BOSTON SCIENTIFIC CORPORATION,BSX,Egan-Jones Ratings Company,2013-08-16,Health Care,credit_rating_financial,1.7183,0.3753,0.651141,0.118604,0.118604,0.08423,0.057859,0.358,0.038844,0.020714,0.4495,0.4358
2,Northwest Natural Gas Co.,NWN,Standard & Poor's Ratings Services,2013-08-16,Public Utilities,credit_rating_financial,0.77,1.2088,0.513644,0.194605,0.194605,0.139859,0.080452,0.2597,0.08056,0.020895,-2.4546,-3.6024
2,HERSHEY COMPANY,HSY,Egan-Jones Ratings Company,2013-08-16,Consumer Non-Durables,credit_rating_financial,1.7436,2.1434,0.416376,0.173502,0.173502,0.158342,0.103434,1.3798,0.713964,0.142716,-1.3571,-2.0021
1,EnerSys,ENS,Moody's Investors Service,2013-08-16,Technology,credit_rating_financial,2.4659,0.1519,0.249985,0.109709,0.109709,0.101088,0.073108,1.1457,0.140356,0.082982,0.8762,0.7363
2,Stanley Black & Decker Inc.,SWK,Standard & Poor's Ratings Services,2013-08-19,Capital Goods,credit_rating_financial,1.5284,0.4885,0.368027,0.082419,0.082419,0.070271,0.071946,0.5879,0.085852,0.03804,0.9491,0.508
1,JETBLUE AIRWAYS CORPORATION,JBLU,Egan-Jones Ratings Company,2013-08-19,Miscellaneous,credit_rating_financial,1.153,1.7849,0.495782,0.071492,0.071492,0.032194,0.019094,0.637,0.048947,0.012162,0.2632,-0.3548
2,Plains All American Pipeline L.P.,PAA,Standard & Poor's Ratings Services,2013-08-19,Consumer Services,credit_rating_financial,0.9931,1.0364,0.059502,0.037701,0.037701,0.031246,0.020742,1.965,0.157711,0.058591,-4.1292,-5.6493
2,DTE Energy Co.,DTE,Standard & Poor's Ratings Services,2013-08-19,Public Utilities,credit_rating_financial,1.0531,1.0891,0.625071,0.14549,0.14549,0.109203,0.069389,0.3338,0.090946,0.025589,1.0312,-0.7056
1,"The Manitowoc Company, Inc.",MTW,Standard & Poor's Ratings Services,2013-08-19,Capital Goods,credit_rating_financial,1.1589,3.0982,0.240973,0.07587,0.07587,0.037539,0.025988,0.9645,0.187339,0.026841,4.3598,3.615
1,"Genesis Energy, L.P.",GEL,Standard & Poor's Ratings Services,2013-08-20,Energy,corporate_rating,1.198565456,1.607365881,1.0,0.026786349,0.020520553,0.020520553,0.020825282,1.444632489,0.078442286,0.030084879,1.648296152,-2.438545922
1,CDW Corporation,CDW,Moody's Investors Service,2013-08-20,Consumer Services,credit_rating_financial,1.3958,-15.6497,0.164907,0.049019,0.049019,0.002947,0.001781,1.6091,-1.868179,0.002865,-1.4525,-1.4805
2,NetApp Inc.,NTAP,Standard & Poor's Ratings Services,2013-08-20,Technology,credit_rating_financial,2.1976,0.4775,0.593945,0.095982,0.095982,0.089476,0.079796,0.5633,0.107112,0.044946,-0.0388,0.1963
2,NOVARTIS AG,NVS,Egan-Jones Ratings Company,2013-08-20,Health Care,credit_rating_financial,1.1644,0.2848,0.694714,0.221412,0.221412,0.216198,0.178369,0.4185,0.137592,0.076737,-0.1247,-0.2237
2,KENNAMETAL INC.,KMT,Egan-Jones Ratings Company,2013-08-20,Capital Goods,credit_rating_financial,3.2068,0.4127,0.326335,0.114466,0.114466,0.102963,0.0785,0.7844,0.114174,0.062682,-0.0309,0.1595
2,"Autodesk, Inc.",ADSK,Standard & Poor's Ratings Services,2013-08-20,Technology,credit_rating_financial,2.4455,0.3649,0.896852,0.132298,0.132298,0.134072,0.106998,0.5367,0.121085,0.057423,-0.0452,-0.0186
2,BAXTER INTERNATIONAL INC,BAX,Egan-Jones Ratings Company,2013-08-20,Health Care,credit_rating_financial,1.7809,0.7608,0.507162,0.212049,0.212049,0.202188,0.160081,0.7284,0.330404,0.118282,-0.1394,-0.1935
1,"Salem Media Group, Inc.",SALM,Standard & Poor's Ratings Services,2013-08-21,Consumer Services,corporate_rating,1.606097791,1.850127611,1.0,0.145749449,-0.029084049,-0.029084049,-0.01154752,0.411978168,-0.013558986,-0.004757326,0.001152254,0.000725637
1,"ASBURY AUTOMOTIVE GROUP, INC",ABG,Egan-Jones Ratings Company,2013-08-21,Consumer Services,credit_rating_financial,1.2455,2.733,0.169097,0.03168,0.03168,0.018158,0.016395,2.9177,0.142376,0.03276,-5.8565,-4.4492
2,General Mills Inc.,GIS,Standard & Poor's Ratings Services,2013-08-21,Consumer Non-Durables,credit_rating_financial,0.812,1.1179,0.361419,0.160447,0.160447,0.142618,0.104377,0.7845,0.265484,0.083525,0.7854,0.91
2,DANA INCORPORATED,DAN,Egan-Jones Ratings Company,2013-08-21,Consumer Durables,credit_rating_financial,2.2542,0.4641,0.134828,0.059385,0.059385,0.050388,0.037237,1.4044,0.263598,0.061236,-0.1396,0.0069
2,"D.R. HORTON, INC",DHI,Egan-Jones Ratings Company,2013-08-21,Miscellaneous,credit_rating_financial,5.1016,0.6935,0.197887,0.056821,0.056821,0.055788,0.219637,0.6007,0.266031,0.131936,-0.8732,-0.9157
2,WEC ENERGY GROUP INC,WEC,Egan-Jones Ratings Company,2013-08-21,Public Utilities,credit_rating_financial,1.0452,1.3313,0.576855,0.197776,0.197776,0.173123,0.117288,0.3236,0.129387,0.036993,0.7964,0.5252
2,"MASTEC, INC",MTZ,Egan-Jones Ratings Company,2013-08-21,Miscellaneous,credit_rating_financial,1.4698,0.6949,0.130835,0.063892,0.063892,0.051712,0.028825,1.5423,0.135332,0.048272,1.8626,1.7369
1,Peabody Energy Corporation,BTU,Moody's Investors Service,2013-08-21,Energy,credit_rating_financial,1.6482,1.207,0.306273,0.202092,0.202092,0.174268,0.12062,0.4719,0.183618,0.060527,2.0144,1.2401
2,EXELON CORPORATION,EXC,Egan-Jones Ratings Company,2013-08-21,Public Utilities,credit_rating_financial,1.3015,0.9021,0.567585,0.101026,0.101026,0.076546,0.049385,0.299,0.053889,0.014906,0.1883,-0.3489
2,INTERPUBLIC GROUP OF,IPG,Egan-Jones Ratings Company,2013-08-21,Miscellaneous,credit_rating_financial,1.0394,0.7084,0.09811,0.097967,0.097967,0.105266,0.074231,0.5434,0.242332,0.042723,-1.0018,-1.0836
1,Koppers Holdings Inc.,KOP,Standard & Poor's Ratings Services,2013-08-21,Basic Industries,credit_rating_financial,2.6556,1.7615,0.148167,0.081415,0.081415,0.064695,0.042186,1.9936,0.400357,0.086282,0.0264,0.2391
2,"ANALOG DEVICES, INC",ADI,Egan-Jones Ratings Company,2013-08-22,Technology,credit_rating_financial,8.3549,0.1972,0.644543,0.305074,0.305074,0.301181,0.241097,0.4806,0.156346,0.115871,-0.2614,-0.2939
1,NewMarket Corporation,NEU,Standard & Poor's Ratings Services,2013-08-22,Basic Industries,credit_rating_financial,3.3945,1.0552,0.285045,0.162049,0.162049,0.152616,0.108321,1.7496,0.589928,0.187678,6.8889,7.9008
1,Louisiana-Pacific Corp.,LPX,Standard & Poor's Ratings Services,2013-08-22,Miscellaneous,credit_rating_financial,4.0982,0.8517,0.182119,0.061613,0.061613,0.020577,0.017029,0.7255,0.028536,0.012656,1.0858,1.0824
2,Stanley Black & Decker Inc.,SWK,Standard & Poor's Ratings Services,2013-08-22,Capital Goods,credit_rating_financial,1.5284,0.4885,0.368027,0.082419,0.082419,0.070271,0.071946,0.5879,0.085852,0.03804,0.9491,0.508
2,Mohawk Industries Inc.,MHK,Standard & Poor's Ratings Services,2013-08-22,Consumer Non-Durables,credit_rating_financial,2.1775,0.4644,0.251119,0.055925,0.055925,0.035424,0.030825,0.9091,0.052177,0.028717,-0.2836,-2.0089
